date,R_t_v3_raw,R_t_v3
2023-02-28,0.14021123333380708,0.13984566068313928
2023-03-01,0.22104571337493045,0.2210133376741083
2023-03-02,0.2547502393656979,0.2548567925631677
2023-03-03,0.22542598219192886,0.22541166180869626
2023-03-06,0.17919117962584555,0.17898628097472655
2023-03-07,0.13526401190685183,0.1348780469794126
2023-03-08,0.11086252644196681,0.11037597942969861
2023-03-09,0.14205154513079074,0.14169355818213042
2023-03-10,0.12734720608957922,0.12692860836052497
2023-03-13,0.1172482235515481,0.11678799816339955
2023-03-14,0.3309350755786232,0.3313556600538067
2023-03-15,0.3272449641572894,0.32765033811995947
2023-03-16,0.4078039339836189,0.40854136925249385
2023-03-17,0.3510736479324463,0.35157724291105763
2023-03-20,0.4393944528578366,0.44026210316029096
2023-03-21,0.526859248403564,0.5280874255886047
2023-03-22,0.37724036731783583,0.3778518206148559
2023-03-23,0.40981338433787046,0.4105591024920755
2023-03-24,0.5002174921269504,0.5013358529078356
2023-03-27,0.49689484932403516,0.49799951428542844
2023-03-28,0.47569567387210204,0.4767129565605317
2023-03-29,0.5083663229460897,0.5095182729276768
2023-03-30,0.298833565690905,0.29912182884510535
2023-03-31,0.19014680211444804,0.18998706216287167
2023-04-03,0.1289674036114086,0.12855548428088115
2023-04-04,0.10102509658781184,0.10049800002762722
2023-04-05,0.11929380033529907,0.11884200674438203
2023-04-06,0.11708801478361085,0.11662712902042446
2023-04-10,0.1569633395399934,0.15666681849562716
2023-04-11,0.15243470149601146,0.15211951356119896
2023-04-12,0.13466108466241714,0.13427263448958854
2023-04-13,0.13972735708109418,0.13935978990913517
2023-04-14,0.1096880891775088,0.1091967011751816
2023-04-17,0.15195924581395975,0.15164209806715903
2023-04-18,0.1880685191942704,0.18790021263189172
2023-04-19,0.3128290421949036,0.3131749942224708
2023-04-20,0.35822370388764935,0.3587567711512842
2023-04-21,0.27483078510858133,0.27502010962578205
2023-04-24,0.2292476606643999,0.22924909310854577
2023-04-25,0.1968506511038592,0.19671854418752177
2023-04-26,0.16142739367368497,0.16114927330710543
2023-04-27,0.1511623062975691,0.15084187359345885
2023-04-28,0.06741753739998493,0.066751911635339
2023-05-01,0.0751085078653919,0.07447458401679866
2023-05-02,0.08531312901645442,0.08472126826568942
2023-05-03,0.11192524701958577,0.11144308050503117
2023-05-04,0.19520885349765932,0.19506997914798935
2023-05-05,0.13083174234342346,0.13042750775310427
2023-05-08,0.11937277395310082,0.1189213058887234
2023-05-09,0.13987805433455971,0.13951110833150263
2023-05-10,0.1740823063116114,0.1738563490601948
2023-05-11,0.168839831187152,0.16859226463336563
2023-05-12,0.2107909648238911,0.21071631940182
2023-05-15,0.14587491842522976,0.14553269128994584
2023-05-16,0.11378797133118358,0.11331348290225175
2023-05-17,0.06940188610231807,0.06874443975485539
2023-05-18,0.041355418935023196,0.04058236601336923
2023-05-19,0.08023845922272181,0.07962568085739573
2023-05-22,0.08717370796124527,0.08658951645297476
2023-05-23,0.08900099555066104,0.08842433605906182
2023-05-24,0.07990388486177076,0.07928972739242238
2023-05-25,0.11215040469673061,0.11166916627438643
2023-05-26,0.07858946446001905,0.07796988899492856
2023-05-30,0.08425635968362132,0.08366014296596927
2023-05-31,0.1016651336122537,0.10114067526269682
2023-06-01,0.03188155836119795,0.031069454511711503
2023-06-02,0.022582836339431405,0.021732403477207583
2023-06-05,0.020035818433699552,0.019174886851165286
2023-06-06,0.026403401048260274,0.025568716422519476
2023-06-07,0.016274992595494638,0.01539855901804987
2023-06-08,0.01485482396357661,0.013972536499817724
2023-06-09,0.014170720789741907,0.013285613476201275
2023-06-12,0.022478788048087044,0.021627926302380644
2023-06-13,0.014412243964103663,0.013528132200790773
2023-06-14,0.01739985962213112,0.01652806270792791
2023-06-15,0.015144686605049364,0.014263593945141059
2023-06-16,0.013674678860306187,0.012787526878972808
2023-06-20,0.018952870689134427,0.018087475233199257
2023-06-21,0.012487102602555502,0.011595055472684144
2023-06-22,0.02218014450021071,0.021328051756059178
2023-06-23,0.02703062632316102,0.02619852709845647
2023-06-26,0.026993227678191768,0.026160974297557402
2023-06-27,0.030889691381948928,0.03007349909084734
2023-06-28,0.0168566056831024,0.015982569494824763
2023-06-29,0.03524238682510046,0.03444413619508864
2023-06-30,0.025799261962650692,0.02496208709635283
2023-07-03,0.03497003709898077,0.03417066385275384
2023-07-05,0.03917628406508293,0.03839424882435427
2023-07-06,0.06240310246129155,0.06171680736808779
2023-07-07,0.04835904478080254,0.04761486056429131
2023-07-10,0.061546513698997204,0.060856687776341414
2023-07-11,0.035280252336762734,0.034482157787089206
2023-07-12,0.03139787172324947,0.030583774134057346
2023-07-13,0.01794774841931726,0.017078209883914584
2023-07-14,0.017520601124252244,0.01664930190237298
2023-07-17,0.01741462803252712,0.016542891993204228
2023-07-18,0.008949822816563873,0.008043195140929821
2023-07-19,0.010345402853516308,0.00944452771085261
2023-07-20,0.01591367210359051,0.015035749175490453
2023-07-21,0.009653355893257139,0.008749628156796946
2023-07-24,0.007629653300281515,0.006717583931252755
2023-07-25,0.00628426868866548,0.005366653690485252
2023-07-26,0.004454420217980439,0.003529262647264311
2023-07-27,0.009989730321468888,0.009087389108846409
2023-07-28,0.0047622880847376,0.003838399534792148
2023-07-31,0.0043323544064115685,0.003406693684613446
2023-08-01,0.0042981610599632765,0.003372359394365728
2023-08-02,0.00822138709367872,0.00731175683101868
2023-08-03,0.008028123430863924,0.0071176965420248935
2023-08-04,0.007397150193559066,0.006484122454711509
2023-08-07,0.006216645291934113,0.005298751552435606
2023-08-08,0.005594615468312027,0.004674157743248963
2023-08-09,0.006808045911528244,0.005892589905067487
2023-08-10,0.009526139859926596,0.008621887743347231
2023-08-11,0.012307676106445904,0.01141488938672137
2023-08-14,0.011130620277228895,0.01023298177381139
2023-08-15,0.01166229306347692,0.010766846097019927
2023-08-16,0.014651574778895667,0.013768449528979687
2023-08-17,0.014030574555504298,0.013144889564000542
2023-08-18,0.010030557327098262,0.009128384401990468
2023-08-21,0.012713521585096943,0.011822407746493513
2023-08-22,0.010716830036277566,0.009817485903701679
2023-08-23,0.007124141291322866,0.006209988219158888
2023-08-24,0.008271164409450811,0.007361739327176398
2023-08-25,0.005129593359634518,0.004207218829414257
2023-08-28,0.004160390083602737,0.003234020530773437
2023-08-29,0.002623191103548174,0.0016904852693300483
