date,1_cap_pres,2_balanced,3_aggressive,4_tactical,spy,qqq,60_40,sso
2012-08-08,113558.67804219712,110117.44250173977,128479.08497981174,101704.57638410295,135389.09498987597,157512.5190852738,146077.63186029316,152060.86064610197
2012-08-09,113604.20937845242,110025.64873117821,128730.13778883775,101659.96914728935,135504.66297950194,157985.43518492527,146113.1178278164,152255.55913308478
2012-08-10,113581.99903856724,109663.68287992425,128186.1205219924,101521.55912227108,135726.3877930807,158080.01230244988,146544.93002797387,152629.2603185955
2012-08-13,113375.62855179884,109629.23387770615,128076.70307946007,101736.32588438736,135658.9161093004,158458.33094322443,146405.20889122807,152515.4487744077
2012-08-14,113909.12022621723,109657.63464357948,128652.62465426563,101714.54916543227,135678.14150849925,158529.21038531812,145647.6675536986,152547.87020092472
2012-08-15,114294.04675729116,110233.41356939073,129523.74464792546,102285.5624304387,135832.40401196867,158931.09448273366,144961.10682422845,152808.03461754875
2012-08-16,114749.31817065255,111108.6663935828,130671.80759342102,102775.83017743682,136834.61816679302,160822.63683322573,145151.44884428,154499.23315421498
2012-08-17,115034.26845524527,111331.32661794483,131097.2332625485,102787.75158820735,137017.72345589628,161531.92961729373,145539.62851596702,154809.3479533638
2012-08-20,114911.68039968703,111408.73628734845,130876.94836624284,102473.97626376078,137027.35958967317,161768.29613103412,145659.24683007656,154825.67901859933
2012-08-21,114708.00321739134,111255.68836849686,131016.94844074186,102559.25168585137,136612.92147422725,161130.00483717356,145630.36783228302,154123.2755406306
2012-08-22,114771.78334764391,111329.10605686609,130971.49515679346,102539.48141380998,136670.79451891463,161791.99380646506,146583.80012983733,154221.2119193765
2012-08-23,114520.04882509769,111014.09065121402,130578.31580417225,102351.18984111221,135552.8998904124,160467.9955265298,146081.50584255566,152329.04031447033
2012-08-24,115041.63216032968,111191.76761716425,131208.0507479022,102670.38922117034,136372.00875613352,161461.02983384774,146567.81433502992,153709.76401196315
2012-08-27,115102.59354909894,111068.0144897305,131409.80891560824,102541.56229978456,136400.9827731612,161721.05334031448,146917.72185603343,153758.75048683162
2012-08-28,115120.8694787859,111081.59322607907,131389.79077144086,102717.1322208326,136266.02065825855,161721.05334031448,146964.5565477451,153530.54531856315
2012-08-29,115140.972779923,111172.42290651333,131733.38638861768,102924.72588891079,136372.00875613352,161721.05334031448,146785.3132394847,153709.67005984587
2012-08-30,114899.49441358843,110860.51803617002,131195.90331601,102619.54413846097,135389.09498987597,160089.6667150791,146431.00610493202,152047.85523340036
2012-08-31,115077.48964495094,111263.73459580235,131600.53302340436,102817.69370608462,136034.75344761275,161153.63131787145,147663.71951876357,153135.50912147228
