date,R_t,n_indicators
2006-12-18,0.3529,21
2006-12-19,0.3475,21
2006-12-20,0.3613,21
2006-12-21,0.3822,21
2006-12-22,0.4122,21
2006-12-26,0.4037,21
2006-12-27,0.3873,21
2006-12-28,0.4059,21
2006-12-29,0.4097,21
2007-01-03,0.507,22
2007-01-04,0.4922,22
2007-01-05,0.5237,22
2007-01-08,0.5164,22
2007-01-09,0.5257,22
2007-01-10,0.5078,22
2007-01-11,0.4854,22
2007-01-12,0.4257,22
2007-01-16,0.4363,22
2007-01-17,0.4384,22
2007-01-18,0.4235,22
2007-01-19,0.397,22
2007-01-22,0.4272,22
2007-01-23,0.4221,22
2007-01-24,0.4017,22
2007-01-25,0.4577,22
2007-01-26,0.4469,22
2007-01-29,0.4659,22
2007-01-30,0.4553,22
2007-01-31,0.4475,22
2007-02-01,0.4156,22
2007-02-02,0.3995,22
2007-02-05,0.408,22
2007-02-06,0.4062,22
2007-02-07,0.3969,22
2007-02-08,0.4097,22
2007-02-09,0.4297,22
2007-02-12,0.4553,22
2007-02-13,0.4031,22
2007-02-14,0.4091,22
2007-02-15,0.4095,22
2007-02-16,0.4062,22
2007-02-20,0.4004,22
2007-02-21,0.4163,22
2007-02-22,0.4165,22
2007-02-23,0.4329,22
2007-02-26,0.4589,22
2007-02-27,0.621,22
2007-02-28,0.5687,22
2007-03-01,0.605,22
2007-03-02,0.6952,22
2007-03-05,0.701,22
2007-03-06,0.6679,22
2007-03-07,0.6754,22
2007-03-08,0.6531,22
2007-03-09,0.6499,22
2007-03-12,0.6254,22
2007-03-13,0.666,22
2007-03-14,0.6564,22
2007-03-15,0.6532,22
2007-03-16,0.6732,22
2007-03-19,0.6515,22
2007-03-20,0.6027,22
2007-03-21,0.5795,22
2007-03-22,0.6139,22
2007-03-23,0.5907,22
2007-03-26,0.593,22
2007-03-27,0.6125,22
2007-03-28,0.654,22
2007-03-29,0.6505,22
2007-03-30,0.6531,22
2007-04-02,0.6412,22
2007-04-03,0.599,22
2007-04-04,0.5977,22
2007-04-05,0.5895,22
2007-04-09,0.5781,22
2007-04-10,0.5688,22
2007-04-11,0.5872,22
2007-04-12,0.5663,22
2007-04-13,0.529,22
2007-04-16,0.5193,22
2007-04-17,0.5131,22
2007-04-18,0.5133,22
2007-04-19,0.5155,22
2007-04-20,0.5195,22
2007-04-23,0.559,22
2007-04-24,0.5504,22
2007-04-25,0.5605,22
2007-04-26,0.5482,22
2007-04-27,0.5505,22
2007-04-30,0.5945,22
2007-05-01,0.542,22
2007-05-02,0.538,22
2007-05-03,0.5251,22
2007-05-04,0.5446,22
2007-05-07,0.5435,22
2007-05-08,0.5591,22
2007-05-09,0.552,22
2007-05-10,0.5715,22
2007-05-11,0.5336,22
2007-05-14,0.5617,22
2007-05-15,0.5362,22
2007-05-16,0.4904,22
2007-05-17,0.4923,22
2007-05-18,0.4821,22
2007-05-21,0.4928,22
2007-05-22,0.4901,22
2007-05-23,0.4921,22
2007-05-24,0.5167,22
2007-05-25,0.4723,22
2007-05-29,0.4705,22
2007-05-30,0.4551,22
2007-05-31,0.4631,22
2007-06-01,0.4457,22
2007-06-04,0.4622,22
2007-06-05,0.4648,22
2007-06-06,0.514,22
2007-06-07,0.5608,22
2007-06-08,0.5217,22
2007-06-11,0.533,22
2007-06-12,0.5658,22
2007-06-13,0.5287,22
2007-06-14,0.5014,22
2007-06-15,0.5056,22
2007-06-18,0.5,22
2007-06-19,0.4684,22
2007-06-20,0.5509,22
2007-06-21,0.5308,22
2007-06-22,0.5796,22
2007-06-25,0.5937,22
2007-06-26,0.607,22
2007-06-27,0.5622,22
2007-06-28,0.5695,22
2007-06-29,0.5875,22
2007-07-02,0.5557,22
2007-07-03,0.5462,22
2007-07-05,0.5484,22
2007-07-06,0.5287,22
2007-07-09,0.5296,22
2007-07-10,0.6041,22
2007-07-11,0.5661,22
2007-07-12,0.5425,22
2007-07-13,0.5356,22
2007-07-16,0.5413,22
2007-07-17,0.5362,22
2007-07-18,0.5343,22
2007-07-19,0.5312,22
2007-07-20,0.583,22
2007-07-23,0.5719,22
2007-07-24,0.6257,22
2007-07-25,0.6085,22
2007-07-26,0.6543,22
2007-07-27,0.6745,22
2007-07-30,0.6748,22
2007-07-31,0.6917,22
2007-08-01,0.6646,22
2007-08-02,0.6606,22
2007-08-03,0.6924,22
2007-08-06,0.6726,22
2007-08-07,0.6644,22
2007-08-08,0.6275,22
2007-08-09,0.6796,22
2007-08-10,0.6733,22
2007-08-13,0.6642,22
2007-08-14,0.6903,22
2007-08-15,0.6796,22
2007-08-16,0.6809,22
2007-08-17,0.6263,22
2007-08-20,0.6657,22
2007-08-21,0.6641,22
2007-08-22,0.6417,22
2007-08-23,0.6383,22
2007-08-24,0.6164,22
2007-08-27,0.6538,22
2007-08-28,0.6725,22
2007-08-29,0.6315,22
2007-08-30,0.6456,22
2007-08-31,0.6442,22
2007-09-04,0.6428,22
2007-09-05,0.6669,22
2007-09-06,0.6594,22
2007-09-07,0.6809,22
2007-09-10,0.6868,22
2007-09-11,0.6794,22
2007-09-12,0.6776,22
2007-09-13,0.6668,22
2007-09-14,0.664,22
2007-09-17,0.6731,22
2007-09-18,0.6148,22
2007-09-19,0.5949,22
2007-09-20,0.6068,22
2007-09-21,0.5754,22
2007-09-24,0.5797,22
2007-09-25,0.5838,22
2007-09-26,0.5614,22
2007-09-27,0.5624,22
2007-09-28,0.5657,22
2007-10-01,0.5951,22
2007-10-02,0.5981,22
2007-10-03,0.5974,22
2007-10-04,0.6061,22
2007-10-05,0.5742,22
