ticker,shortName,sector,industry,marketCap,tech_score,fund_score,composite,composite_rank,tech_rank,fund_rank,ma200_dist,rsi,rel_str_6m,ma200_rank,rsi_rank,rs6m_rank,forwardPE,revenueGrowth,grossMargins,returnOnEquity,operatingMargins,freeCashflow,nd_ebitda,forwardPE_rank,revenueGrowth_rank,grossMargins_rank,returnOnEquity_rank,operatingMargins_rank,nd_ebitda_rank
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,11900756992.0,12.457058795502192,11.571847475686873,24.028906271189065,317,276,314,0.008303518639531271,40.0071410122005,-0.21947431201275036,0.634469696969697,0.6283018867924528,0.2320754716981132,13.933705,0.07,0.28755,0.30857,0.12604,809049984.0,2.278984259891411,0.6287313432835822,0.39587242026266417,0.22990654205607478,0.7738095238095238,0.31588785046728973,0.4330357142857143
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,15758425088.0,14.54974271012007,9.446656923433842,23.996399633553914,318,151,445,-0.008630873065967992,28.379896078278435,-0.2325531721985976,0.6818181818181819,0.8622641509433963,0.2018867924528302,11.114804,0.134,0.29687,-0.16036,0.03718,1711250048.0,2.3327400237440967,0.7854477611940298,0.6716697936210131,0.2485981308411215,0.03571428571428571,0.09719626168224299,0.4285714285714286
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,22603646976.0,13.862147417571949,10.11543671966116,23.97758413723311,319,196,399,-0.06942018923211668,38.92044315409716,-0.23846845673108918,0.8162878787878788,0.6528301886792454,0.19433962264150945,17.534443,0.116,0.40546,0.103719994,0.19816999,-2156000000.0,6.315440681370579,0.46641791044776115,0.6116322701688556,0.42990654205607476,0.32936507936507936,0.5345794392523364,0.0558035714285714
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,17037124608.0,14.684164760815701,9.203871001004886,23.88803576182059,320,149,453,0.052506130197673695,40.89632666668804,0.01102680487725527,0.4564393939393939,0.6075471698113207,0.6981132075471698,43.177166,0.092,0.57181,0.061929997,0.24277,1021075392.0,5.647137619053388,0.05597014925373134,0.524390243902439,0.685981308411215,0.17261904761904762,0.6672897196261682,0.1026785714285714
PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric,12330793984.0,14.973496760053365,8.846539519670166,23.82003627972353,321,132,470,0.0002813200595934706,35.037419175627065,-0.13704425326884917,0.6571969696969697,0.7490566037735849,0.3905660377358491,18.237642,0.114,0.43014,0.09559,0.11757,-831102848.0,7.67581131964219,0.43843283582089554,0.6031894934333959,0.47289719626168225,0.29365079365079366,0.28598130841121494,0.029017857142857095
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,78867636224.0,13.942550505050505,9.854081595680304,23.79663210073081,322,192,416,-0.10456835852529422,34.36984769043997,-0.4141924463551878,0.8731060606060606,0.760377358490566,0.03962264150943396,18.396605,0.044,0.20517999,0.28511998,0.11689,2071624960.0,2.0323914627052995,0.43097014925373134,0.2598499061913696,0.16261682242990655,0.751984126984127,0.2841121495327103,0.4754464285714286
NOW,"ServiceNow, Inc.",Technology,Software - Application,106482556928.0,8.902170287783495,14.842104553534119,23.744274841317612,323,471,125,0.24203985798793792,69.42070653842715,0.2355865268510542,0.08901515151515149,0.07169811320754715,0.9075471698113208,20.54342,0.221,0.76562,0.1607,0.13342,5108125184.0,1.3079048241994853,0.3470149253731343,0.8377110694183865,0.8990654205607477,0.5257936507936508,0.3364485981308411,0.6160714285714286
O,Realty Income Corporation,Real Estate,REIT - Retail,57758588928.0,11.876072041166381,11.86672781156164,23.74279985272802,324,305,294,0.00015870862580569245,45.04064667476333,-0.20190730796130396,0.6590909090909092,0.5075471698113208,0.25849056603773585,34.0616,0.12,0.92597,0.02831,0.45526,1797902592.0,5.7420518066512685,0.10634328358208955,0.6332082551594747,0.9775700934579439,0.10515873015873016,0.9364485981308411,0.0892857142857143
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,107887247360.0,15.141866781017724,8.58428825264792,23.72615503366564,325,118,478,0.03931735942867398,35.72038856488959,-0.05657720655473697,0.5113636363636364,0.7320754716981133,0.5735849056603773,43.825478,0.263,0.15100001,0.13534,0.04244,1037176768.0,2.0021989803394784,0.052238805970149294,0.8724202626641651,0.102803738317757,0.4444444444444444,0.10841121495327102,0.4799107142857143
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,30109192192.0,13.496938726891555,10.225283175374997,23.722221902266554,326,219,393,-0.01345232848703859,40.904532091773596,-0.17155770852726904,0.7026515151515151,0.6037735849056604,0.3132075471698113,18.74958,0.037,0.50451,0.117469996,0.27786,-1869374976.0,5.574424631834693,0.41417910447761197,0.2326454033771107,0.5869158878504673,0.37896825396825395,0.7364485981308411,0.1049107142857143
