date,tier,R_t,cash_pct,n_holdings,turnover,holdings
2014-09-02,1_cap_pres,0.433,0.575,12,0.583,"MA,ICE,V,CL,ABBV,IDXX,PM,PEP,INCY,BF-B,CLX,PODD"
2014-10-01,1_cap_pres,0.787,0.84,12,0.75,"RMD,MA,V,VRSK,AMP,EFX,NDSN,FDS,AFL,NDAQ,INCY,MRK"
2014-11-03,1_cap_pres,0.566,0.674,12,0.917,"LLY,BRO,VEEV,DXCM,GILD,KO,UHS,ICE,MRK,MAS,ZTS,PODD"
2014-12-01,1_cap_pres,0.523,0.642,12,0.667,"GILD,BRO,CME,MSCI,PODD,VRSK,LLY,CBOE,NDAQ,AMP,MO,TROW"
2015-01-02,1_cap_pres,0.641,0.731,12,0.583,"ICE,GILD,LLY,MA,INCY,VEEV,AMGN,MO,AMP,MRK,ABBV,BRO"
2015-02-02,1_cap_pres,0.775,0.831,12,0.583,"ABBV,ICE,V,MA,PODD,BRO,KO,MCO,AMGN,TROW,ZTS,JNJ"
2015-03-02,1_cap_pres,0.448,0.586,12,0.667,"LLY,AMP,BRO,MCO,MRK,ES,ABBV,CBOE,V,DXCM,VEEV,IDXX"
2015-04-01,1_cap_pres,0.734,0.8,12,0.667,"V,MA,MO,BMY,AMP,INCY,ABBV,GILD,CME,UNP,PODD,IDXX"
2015-05-01,1_cap_pres,0.464,0.598,12,0.667,"ZTS,RMD,BRO,V,LLY,ICE,MO,NDAQ,PODD,PFE,IDXX,AFL"
2015-06-01,1_cap_pres,0.494,0.621,12,0.583,"RMD,MO,AMP,MA,AFL,ICE,V,AMGN,CME,CL,UNP,TROW"
2015-07-01,1_cap_pres,0.611,0.708,12,0.583,"ICE,RMD,V,AMP,CME,NDAQ,MRK,GILD,PFE,IDXX,SPGI,INCY"
2015-08-03,1_cap_pres,0.48,0.61,12,0.667,"LLY,INCY,BMY,ICE,VEEV,MCO,AON,BRO,AMP,MA,SPGI,PODD"
2015-09-01,1_cap_pres,0.83,0.873,12,0.583,"ABBV,PODD,MCO,GILD,AMP,AMGN,MA,AFL,AJG,BRO,PM,BF-B"
