rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
49,BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,Growth,25.1,74.87,71.13,21.5,15.0,10.0,0.0,ok,False,46.5,15.6,6.6,32.4,56.3,10.0,67.4,5.6,-0.5,-0.13,0.363,AVGO,,126,15.0,15.0,,False
50,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Mate,Core,346.5,436.45,539.77,18.0,18.5,10.0,0.0,ok,False,46.5,25.8,0.9,11.4,49.0,39.7,25.9,17.9,25.1,0.332,0.514,AVGO,,126,18.5,14.0,,False
51,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,Core,340.2,146.1,146.23,18.5,18.0,10.0,0.0,ok,False,46.5,19.7,3.7,7.4,51.0,31.1,50.8,0.2,-4.2,-0.131,0.217,AVGO,,126,18.0,17.0,,False
52,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Core,10.0,282.04,267.94,21.0,15.4,10.0,0.0,ok,False,46.4,14.3,6.2,6.4,51.4,27.0,69.2,14.6,0.7,0.159,0.603,MSFT,,126,15.4,15.0,,False
53,MAS,Masco Corporation,Industrials,Building Products & Equipment,Core,14.3,72.56,74.58,18.5,17.9,10.0,0.0,ok,False,46.4,15.5,5.2,6.5,35.7,8457.1,41.9,6.6,5.3,0.19,0.184,GOOG,,126,17.9,14.0,,False
54,ESTC,Elastic N.V.,Technology,Software - Application,Speculative,6.7,64.44,61.22,22.0,14.4,10.0,0.0,ok,False,46.4,16.6,6.9,16.0,76.2,33.4,56.4,-0.2,-17.0,0.423,0.667,MSFT,,126,14.4,17.0,,False
55,HBAN,Huntington Bancshares Incorpor,Financial Services,Banks - Regional,Growth,34.0,16.84,17.08,18.0,18.3,10.0,0.0,ok,False,46.3,9.0,,47.1,0.0,9.0,36.4,1.9,-4.2,0.153,0.24,GOOG,,126,18.3,14.0,,False
56,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,290.1,215.25,204.49,15.5,9.8,21.0,0.0,ok,False,46.3,27.6,3.4,14.5,20.3,12.3,75.7,15.5,3.9,-0.014,0.12,AVGO,,126,9.8,21.0,,False
57,HUBB,Hubbell Inc,Industrials,Electrical Equipment & Parts,Core,24.4,460.96,487.37,18.0,18.2,10.0,0.0,ok,False,46.2,20.1,2.2,15.3,35.3,24.4,39.2,-3.6,-9.4,0.143,0.321,NVDA,,126,18.2,14.0,,False
58,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,Core,194.7,181.52,184.17,17.0,19.2,10.0,0.0,ok,False,46.2,12.6,5.8,7.9,63.1,18.0,50.0,-8.4,-6.4,-0.187,0.218,NVDA,,126,19.2,17.0,,False
59,DXCM,"DexCom, Inc.",Healthcare,Medical Devices,Core,29.0,75.14,72.61,20.5,15.7,10.0,0.0,ok,False,46.2,24.4,3.6,15.0,61.5,35.6,54.4,11.1,-2.4,0.183,0.222,MSFT,,126,15.7,17.0,,False
60,ON,ON Semiconductor Corporation,Technology,Semiconductors,Core,30.7,78.86,106.15,16.0,20.1,10.0,0.0,ok,False,46.1,18.2,4.2,4.7,42.7,7.5,27.1,5.6,16.6,0.334,0.456,AVGO,,126,20.1,14.0,,False
61,GE,GE Aerospace,Industrials,Aerospace & Defense,Core,363.8,350.63,342.02,17.5,18.5,10.0,0.0,ok,False,46.0,38.6,1.8,21.1,31.1,48.2,44.4,11.7,15.4,0.242,0.362,GOOG,,126,18.5,14.0,,False
62,FIS,Fidelity National Information ,Technology,Information Technology Service,Growth,24.2,46.81,44.47,20.0,15.9,10.0,0.0,ok,False,45.9,6.8,10.1,30.1,36.3,17.2,68.7,-9.8,-19.9,0.148,0.467,MSFT,,126,15.9,15.0,,False
63,SYF,Synchrony Financial,Financial Services,Credit Services,Core,24.4,74.97,73.37,19.5,16.4,10.0,0.0,ok,False,45.9,7.1,,0.6,0.0,20.8,62.2,1.4,-1.9,0.323,0.308,BMNR,,126,16.4,16.0,,False
64,EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,Core,99.4,1008.02,1054.95,16.5,19.4,10.0,0.0,ok,False,45.9,52.2,2.7,12.1,51.6,10.1,43.8,9.2,20.0,0.065,0.169,NVDA,,126,19.4,16.0,,False
65,LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,Core,13.5,119.03,118.73,21.0,14.9,10.0,0.0,ok,False,45.9,10.6,8.4,4.3,55.7,32.0,54.5,-25.4,-38.8,0.369,0.442,MSFT,,126,14.9,12.0,,False
66,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,Core,29.9,27.13,27.05,18.5,17.3,10.0,0.0,ok,False,45.8,9.3,4.3,3.5,99.1,11.3,69.4,-2.0,-4.3,-0.111,0.252,AVGO,,126,17.3,17.0,,False
67,TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,Speculative,9.0,19.09,19.49,20.5,15.3,10.0,0.0,ok,False,45.8,8.9,6.3,11.8,77.8,16.7,45.1,-35.5,-44.9,0.31,0.489,MSFT,,126,15.3,15.0,,False
68,HSY,The Hershey Company,Consumer Defensive,Confectioners,Core,37.3,183.91,180.31,19.5,16.2,10.0,0.0,ok,False,45.7,18.7,4.1,10.6,35.0,23.2,69.6,-3.3,-7.7,-0.208,0.258,AVGO,,126,16.2,16.0,,False
69,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,Core,61.4,1248.76,1448.65,16.5,19.2,10.0,0.0,ok,False,45.7,40.8,0.8,26.1,55.2,19.6,37.2,3.8,3.0,0.445,0.573,AVGO,,126,19.2,14.0,,False
70,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,Core,31.4,48.55,48.23,19.5,16.2,10.0,0.0,ok,False,45.7,13.7,7.0,-0.7,79.3,122.9,63.6,-12.4,-24.7,0.351,0.49,MSFT,,126,16.2,13.0,,False
71,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,27.8,181.33,173.49,20.5,15.2,10.0,0.0,ok,False,45.7,19.8,,31.6,31.1,21.5,58.3,10.7,10.9,-0.15,0.309,AVGO,,126,15.2,14.0,,False
72,FFIV,"F5, Inc.",Technology,Software - Infrastructure,Core,22.0,386.95,400.45,18.0,17.6,10.0,0.0,ok,False,45.6,21.4,3.4,10.9,81.9,19.8,32.1,24.7,27.5,0.362,0.312,BMNR,,126,17.6,17.0,,False
73,EW,Edwards Lifesciences Corporati,Healthcare,Medical Devices,Core,49.4,85.76,87.42,17.0,18.6,10.0,0.0,ok,False,45.6,25.4,,13.6,77.8,,31.1,2.6,-0.1,0.229,0.288,GOOG,,126,18.6,17.0,,False
74,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,Core,44.9,569.77,556.59,18.0,17.6,10.0,0.0,ok,False,45.6,34.5,1.8,14.3,62.1,72.9,54.2,-8.3,-22.0,0.28,0.326,MSFT,,126,17.6,17.0,,False
75,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,Cyclical,24.9,111.83,115.7,17.5,18.1,10.0,0.0,ok,False,45.6,12.9,2.9,6.7,41.7,20.7,43.0,3.0,-5.5,0.2,0.264,GOOG,,126,18.1,12.0,,False
76,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,Core,51.2,115.3,111.6,20.0,15.5,10.0,0.0,ok,False,45.5,17.1,2.3,19.5,71.8,42.9,46.0,20.2,17.0,0.272,0.331,GOOG,,126,15.5,13.0,,False
77,PATH,"UiPath, Inc.",Technology,Software - Infrastructure,Speculative,6.5,12.59,11.96,20.5,15.0,10.0,0.0,ok,False,45.5,13.9,7.8,17.3,83.0,18.2,58.0,-1.9,-15.6,0.324,0.586,MSFT,,126,15.0,17.0,,False
78,VST,Vistra Corp.,Utilities,Utilities - Independent Power ,Growth,48.2,142.81,155.54,16.5,19.0,10.0,0.0,ok,False,45.5,13.6,-0.3,43.4,38.6,42.9,36.0,-12.9,-18.4,0.301,0.35,AVGO,,126,19.0,18.0,,False
79,EQT,EQT Corporation,Energy,Oil & Gas E&P,Cyclical,32.9,52.57,52.75,18.5,16.9,10.0,0.0,ok,False,45.4,13.2,7.5,-3.9,80.7,11.1,60.2,-6.4,-10.4,-0.042,0.127,GOOG,,126,16.9,14.0,,False
80,NBIS,Nebius Group N.V.,Communication Services,Internet Content & Information,Growth,37.6,148.22,224.07,14.5,20.9,10.0,0.0,ok,False,45.4,,-16.3,683.9,72.1,14.1,31.6,5.4,42.7,0.446,0.476,NVDA,,126,20.9,15.0,,False
81,POOL,Pool Corporation,Industrials,Industrial Distribution,Speculative,7.0,193.45,195.45,16.5,18.9,10.0,0.0,ok,False,45.4,16.4,2.9,2.2,29.6,31.3,35.9,-13.8,-29.0,0.088,0.153,GOOG,,126,18.9,14.0,,False
82,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,Core,192.9,271.52,274.99,16.5,18.9,10.0,0.0,ok,False,45.4,19.2,3.1,9.4,57.3,,44.1,-8.9,-17.0,-0.055,0.225,NVDA,,126,18.9,12.0,,False
83,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,Core,13.5,282.98,268.83,18.5,16.8,10.0,0.0,ok,False,45.3,13.7,4.1,14.3,48.2,11.8,57.4,14.9,14.9,0.294,0.217,NVDA,,126,16.8,14.0,,False
84,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,13.9,105.1,99.84,20.5,14.8,10.0,0.0,ok,False,45.3,9.8,9.7,6.1,63.8,398.2,74.3,4.1,-3.2,0.071,0.386,MSFT,,126,14.8,17.0,,False
85,ROP,"Roper Technologies, Inc.",Technology,Software - Application,Core,40.4,408.07,387.67,18.5,16.8,10.0,0.0,ok,False,45.3,16.8,5.6,8.5,69.5,13.1,69.3,6.5,9.0,0.048,0.367,MSFT,,126,16.8,17.0,,False
86,CRM,"Salesforce, Inc.",Technology,Software - Application,Core,154.3,188.38,178.96,20.0,15.3,10.0,0.0,ok,False,45.3,12.1,10.7,13.3,77.6,16.9,68.0,-8.0,-21.8,0.312,0.718,MSFT,,126,15.3,17.0,,False
87,NOW,"ServiceNow, Inc.",Technology,Software - Application,Core,119.7,115.76,109.97,19.5,15.7,10.0,0.0,ok,False,45.2,23.1,4.3,24.0,74.8,14.2,56.8,-7.9,-15.5,0.353,0.733,MSFT,,126,15.7,17.0,,False
88,TEL,TE Connectivity plc,Technology,Electronic Components,Core,60.0,206.95,205.45,18.5,16.7,10.0,0.0,ok,False,45.2,16.0,3.9,13.8,36.1,23.3,58.4,-5.4,-10.9,0.341,0.309,BMNR,,126,16.7,13.0,,False
89,AIG,"American International Group, ",Financial Services,Insurance - Diversified,Core,42.5,80.2,76.75,17.0,18.2,10.0,0.0,ok,False,45.2,9.1,22.4,1.4,35.5,7.7,53.9,4.4,5.8,-0.075,0.174,AVGO,,126,18.2,14.0,,False
90,BR,Broadridge Financial Solutions,Technology,Information Technology Service,Core,18.4,159.2,151.24,19.0,16.1,10.0,0.0,ok,False,45.1,15.3,6.5,7.8,31.3,42.3,64.8,-12.7,-26.2,0.043,0.482,MSFT,,126,16.1,15.0,,False
91,APH,Amphenol Corporation,Technology,Electronic Components,Growth,184.9,150.31,152.23,18.5,16.6,10.0,0.0,ok,False,45.1,25.1,1.9,58.4,37.9,36.8,36.5,6.3,-1.5,0.326,0.407,AVGO,,126,16.6,13.0,,False
92,ADI,"Analog Devices, Inc.",Technology,Semiconductors,Growth,172.1,353.37,399.34,17.5,17.6,10.0,0.0,ok,False,45.1,23.5,2.2,37.2,64.5,9.6,26.7,7.5,7.1,0.274,0.453,AVGO,,126,17.6,15.0,,False
93,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchang,Core,83.7,483.24,466.28,19.0,16.0,10.0,0.0,ok,False,45.0,25.6,3.1,15.1,75.0,76.9,48.1,2.8,-10.9,0.231,0.393,MSFT,,126,16.0,16.0,,False
94,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,Core,73.0,308.61,319.57,17.5,17.5,10.0,0.0,ok,False,45.0,15.1,7.7,12.5,27.3,14.8,47.9,12.9,17.8,0.101,0.24,GOOG,,126,17.5,14.0,,False
95,WDAY,"Workday, Inc.",Technology,Software - Application,Core,41.5,168.01,159.61,20.5,14.5,10.0,0.0,ok,False,45.0,13.3,7.5,13.5,75.8,10.9,68.6,1.0,-16.0,0.225,0.667,MSFT,,126,14.5,17.0,,False
96,TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,Core,70.7,1264.6,1260.75,17.5,17.5,10.0,0.0,ok,False,45.0,26.9,2.2,18.3,59.7,,44.7,-1.3,-15.3,0.248,0.314,GOOG,,126,17.5,15.0,,False
97,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,Core,21.8,508.09,482.69,21.0,13.9,10.0,0.0,ok,False,44.9,15.9,4.5,11.1,43.2,47.4,76.5,-8.5,-25.2,0.105,0.122,MSFT,,126,13.9,12.0,,False
98,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,51.8,245.25,232.99,22.0,12.9,10.0,0.0,ok,False,44.9,17.2,5.9,18.4,92.4,50.4,73.1,-3.7,-13.4,0.239,0.551,MSFT,,126,12.9,17.0,,False
99,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,Cyclical,19.6,127.35,120.98,20.0,14.8,10.0,0.0,ok,False,44.8,11.3,5.5,19.4,39.1,27.3,68.6,24.6,33.1,-0.282,0.36,GOOG,,126,14.8,11.0,,False
100,MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchang,Core,42.4,582.92,595.74,17.5,17.3,10.0,0.0,ok,False,44.8,25.9,2.8,12.2,83.0,,44.6,2.3,-9.3,0.247,0.432,MSFT,,126,17.3,16.0,,False
